name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
llama.cpp,https://github.com/ggml-org/llama.cpp,76971,11152,C++,ggml-org,LLM inference in C/C++,2025-03-21T20:32:42Z,2023-03-10T18:58:00Z,354
gpt4all,https://github.com/nomic-ai/gpt4all,72882,7944,C++,nomic-ai,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,2025-03-19T23:33:36Z,2023-03-27T18:49:32Z,667
ladybird,https://github.com/LadybirdBrowser/ladybird,36170,1509,C++,LadybirdBrowser,Truly independent web browser,2025-03-21T19:47:30Z,2024-05-30T09:18:10Z,362
llamafile,https://github.com/Mozilla-Ocho/llamafile,22021,1155,C++,Mozilla-Ocho,Distribute and run LLMs with a single file.,2025-03-20T17:24:02Z,2023-09-10T21:12:32Z,141
mlx,https://github.com/ml-explore/mlx,19709,1124,C++,ml-explore,MLX: An array framework for Apple silicon,2025-03-21T20:42:59Z,2023-11-28T23:33:45Z,114
BitNet,https://github.com/microsoft/BitNet,12819,906,C++,microsoft,Official inference framework for 1-bit LLMs,2025-02-18T13:13:36Z,2024-08-05T09:07:38Z,58
awesome-low-level-design,https://github.com/ashishps1/awesome-low-level-design,12680,3065,C++,ashishps1,Learn Low Level Design (LLD) and prepare for interviews using free resources.,2025-03-09T12:39:48Z,2023-11-17T10:15:12Z,20
FlashMLA,https://github.com/deepseek-ai/FlashMLA,11351,806,C++,deepseek-ai,FlashMLA: Efficient MLA decoding kernels,2025-03-01T10:24:33Z,2025-02-21T06:31:27Z,40
lynx,https://github.com/lynx-family/lynx,10798,340,C++,lynx-family,Empower the Web community and invite more to build across platforms.,2025-03-21T15:58:37Z,2025-03-04T07:41:43Z,54
TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,9759,1177,C++,NVIDIA,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.,2025-03-21T07:43:37Z,2023-08-16T17:14:27Z,436
xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,9527,1718,C++,78,Build your own AI friend,2025-03-21T04:54:53Z,2024-08-31T10:08:16Z,115
Whisper,https://github.com/Const-me/Whisper,9068,768,C++,Const-me,High-performance GPGPU inference of OpenAI's Whisper automatic speech recognition (ASR) model,2024-08-03T02:35:39Z,2023-01-07T17:25:57Z,147
piper,https://github.com/rhasspy/piper,8250,621,C++,rhasspy,"A fast, local neural text to speech system",2025-03-03T15:37:38Z,2023-01-10T22:25:40Z,356
3FS,https://github.com/deepseek-ai/3FS,8218,779,C++,deepseek-ai, A high-performance distributed file system designed to address the challenges of AI training and inference workloads. ,2025-03-20T15:38:21Z,2025-02-27T13:36:53Z,62
PowerInfer,https://github.com/SJTU-IPADS/PowerInfer,8161,427,C++,SJTU-IPADS,High-speed Large Language Model Serving for Local Deployment,2025-02-19T08:15:55Z,2023-12-15T02:24:10Z,106
tachyon,https://github.com/kroma-network/tachyon,7773,235,C++,kroma-network,Modular ZK(Zero Knowledge) backend accelerated by GPU,2024-11-29T10:05:23Z,2023-06-27T10:48:18Z,18
