name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
hiddify-app,https://github.com/hiddify/hiddify-app,20160,1790,Dart,hiddify,"Multi-platform auto-proxy client, supporting Sing-box, X-ray, TUIC, Hysteria, Reality, Trojan, SSH etc. It’s an open-source, secure and ad-free.",2025-03-21T14:10:06Z,2023-05-21T11:30:14Z,391
FlClash,https://github.com/chen08209/FlClash,15265,903,Dart,chen08209,"A multi-platform proxy client based on ClashMeta,simple and easy to use, open-source and ad-free.",2025-03-21T08:09:18Z,2023-08-15T07:47:22Z,99
pilipala,https://github.com/guozhigq/pilipala,9851,487,Dart,guozhigq,PiliPala 是使用Flutter开发的BiliBili第三方客户端，感谢使用。,2025-03-05T15:59:52Z,2023-04-18T02:14:12Z,591
proxypin,https://github.com/wanghongenpin/proxypin,8267,718,Dart,wanghongenpin,"Open source free capture HTTP(S) traffic  software ProxyPin, supporting full platform systems",2025-03-07T14:42:17Z,2023-06-05T11:16:00Z,70
dart_simple_live,https://github.com/xiaoyaocz/dart_simple_live,8217,412,Dart,xiaoyaocz,简简单单的看直播,2025-02-26T09:04:21Z,2023-02-27T07:30:34Z,184
PicaComic,https://github.com/wgh136/PicaComic,8093,960,Dart,wgh136,"A comic app built with Flutter, supporting multiple comic sources.",2024-12-21T09:48:05Z,2023-02-06T06:30:31Z,56
Kazumi,https://github.com/Predidit/Kazumi,7518,203,Dart,Predidit,基于自定义规则的番剧采集APP，支持流媒体在线观看，支持弹幕，支持实时超分辨率。,2025-03-21T14:04:38Z,2024-05-09T01:56:22Z,137
opensource-ecommerce-mobile-app,https://github.com/bagisto/opensource-ecommerce-mobile-app,7081,152,Dart,bagisto,"This open-source mobile ecommerce app seamlessly transforms your Bagisto store into a powerful mobile platform, providing real-time synchronization of products and categories. ",2024-10-25T08:38:16Z,2023-10-25T13:01:19Z,2
aidea,https://github.com/mylxsw/aidea,6728,1007,Dart,mylxsw,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,2025-03-01T12:52:55Z,2023-08-30T03:31:56Z,24
karing,https://github.com/KaringX/karing,4640,394,Dart,KaringX,"Simple & Powerful proxy utility, Support routing rules for clash/sing-box",2025-03-21T09:01:11Z,2023-11-06T06:16:18Z,40
miru-app,https://github.com/miru-project/miru-app,4618,196,Dart,miru-project,"🎉 A versatile application that is free, open-source, and supports extension sources for videos, comics, and novels, available on Android, Windows, and Web platforms.",2024-05-28T18:05:00Z,2023-04-27T13:38:58Z,123
anx-reader,https://github.com/Anxcye/anx-reader,3060,146,Dart,Anxcye,"Featuring powerful AI capabilities and supporting various e-book formats, it makes reading smarter and more focused. 集成多种 AI 能力，支持丰富的电子书格式，让阅读更智能、更专注。",2025-03-21T14:08:51Z,2024-03-28T11:28:52Z,60
namida,https://github.com/namidaco/namida,3041,171,Dart,namidaco,"A Beautiful and Feature-rich Music & Video Player with Youtube Support, Built in Flutter",2025-03-08T23:28:47Z,2023-02-12T16:36:03Z,72
bili_you,https://github.com/lucinhu/bili_you,2843,121,Dart,lucinhu,一个用flutter制作的第三方B站客户端.,2023-08-26T16:03:12Z,2023-02-04T15:42:55Z,124
shorebird,https://github.com/shorebirdtech/shorebird,2547,156,Dart,shorebirdtech,Code Push for Flutter and other tools for Flutter businesses.,2025-03-19T17:57:13Z,2023-03-02T17:28:22Z,161
rinf,https://github.com/cunarist/rinf,2240,81,Dart,cunarist,"Rust for native business logic, Flutter for flexible and beautiful GUI",2025-03-17T18:46:12Z,2023-02-15T14:47:18Z,17
flutter-complete-guide-course-resources,https://github.com/academind/flutter-complete-guide-course-resources,2224,911,Dart,academind,Course resources (code snapshots & slides) for our complete Flutter & Dart course (https://acad.link/flutter).,2024-12-20T06:30:17Z,2023-04-05T06:37:07Z,8
