name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
ollama,https://github.com/ollama/ollama,134142,11089,Go,ollama,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, and other large language models.",2025-03-21T20:17:16Z,2023-06-26T19:39:32Z,1474
LocalAI,https://github.com/mudler/LocalAI,31145,2357,Go,mudler,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference",2025-03-21T08:11:09Z,2023-03-18T22:58:02Z,415
fabric,https://github.com/danielmiessler/fabric,30139,3108,Go,danielmiessler,fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,2025-03-21T12:57:00Z,2024-01-03T23:18:31Z,187
opentofu,https://github.com/opentofu/opentofu,24721,960,Go,opentofu,OpenTofu lets you declaratively manage your cloud infrastructure.,2025-03-21T02:02:26Z,2023-08-16T20:01:36Z,246
glance,https://github.com/glanceapp/glance,19517,692,Go,glanceapp,A self-hosted dashboard that puts all your feeds in one place,2025-03-21T14:04:50Z,2024-04-27T18:55:38Z,103
typescript-go,https://github.com/microsoft/typescript-go,18170,528,Go,microsoft,Staging repo for development of native port of TypeScript,2025-03-21T19:58:08Z,2024-09-19T20:25:12Z,37
SafeLine,https://github.com/chaitin/SafeLine,15898,962,Go,chaitin,SafeLine is a self-hosted WAF(Web Application Firewall) / reverse proxy to protect your web apps from attacks and exploits.,2025-03-14T08:49:09Z,2023-04-12T11:30:14Z,31
daytona,https://github.com/daytonaio/daytona,14657,1390,Go,daytonaio,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code.,2025-03-13T01:43:30Z,2024-02-06T08:21:20Z,81
devpod,https://github.com/loft-sh/devpod,13614,425,Go,loft-sh,"Codespaces but open-source, client-only and unopinionated: Works with any IDE and lets you use any cloud, kubernetes or just localhost docker.",2025-03-21T14:32:47Z,2023-01-24T12:59:48Z,84
superfile,https://github.com/yorukot/superfile,13204,316,Go,yorukot,Pretty fancy and modern terminal file manager,2025-03-21T18:00:17Z,2024-03-19T15:49:52Z,77
plandex,https://github.com/plandex-ai/plandex,11283,777,Go,plandex-ai,Open source AI coding agent. Designed for large projects and real world tasks.,2025-03-21T15:34:33Z,2023-10-24T22:11:43Z,12
OpenGFW,https://github.com/apernet/OpenGFW,10133,753,Go,apernet,"OpenGFW is a flexible, easy-to-use, open source implementation of GFW (Great Firewall of China) on Linux",2024-10-28T02:12:14Z,2023-12-13T06:37:41Z,28
beszel,https://github.com/henrygd/beszel,10081,300,Go,henrygd,"Lightweight server monitoring hub with historical data, docker stats, and alerts.",2025-03-18T19:58:45Z,2024-07-07T21:36:28Z,158
conc,https://github.com/sourcegraph/conc,9766,334,Go,sourcegraph,Better structured concurrency for go,2024-04-26T15:28:57Z,2023-01-02T22:52:07Z,18
go-blueprint,https://github.com/Melkeydev/go-blueprint,7091,387,Go,Melkeydev,Go-blueprint allows users to spin up a quick Go project using a popular framework,2025-02-02T17:09:35Z,2023-10-11T07:20:12Z,31
sidekick,https://github.com/MightyMoud/sidekick,6529,113,Go,MightyMoud,Bare metal to production ready in mins; your own fly server on your VPS.,2025-02-23T07:49:57Z,2024-07-02T22:43:42Z,14
k8sgpt,https://github.com/k8sgpt-ai/k8sgpt,6367,760,Go,k8sgpt-ai,Giving Kubernetes Superpowers to everyone,2025-03-21T19:33:30Z,2023-03-21T19:58:16Z,72
langchaingo,https://github.com/tmc/langchaingo,6109,760,Go,tmc,"LangChain for Go, the easiest way to write LLM-based programs in Go",2025-03-18T00:16:45Z,2023-02-18T20:04:54Z,192
new-api,https://github.com/Calcium-Ion/new-api,6091,1228,Go,Calcium-Ion,AI模型接口管理与分发系统，支持将多种大模型转为统一格式调用，支持OpenAI、Claude等格式，可供个人或者企业内部管理与分发渠道使用，本项目基于One API二次开发。🍥 The next-generation LLM gateway and AI asset management system supports multiple languages.,2025-03-20T15:22:20Z,2023-11-10T19:33:36Z,131
certimate,https://github.com/usual2970/certimate,5966,538,Go,usual2970,"开源的SSL证书管理工具，可以帮助你自动申请、部署SSL证书，并在证书即将过期时自动续期。An open-source SSL certificate management tool that helps you automatically apply for and deploy SSL certificates, as well as automatically renew them when they are about to expire.",2025-03-21T12:58:35Z,2024-08-21T03:54:39Z,24
LLocalSearch,https://github.com/nilsherzig/LLocalSearch,5879,372,Go,nilsherzig,LLocalSearch is a completely locally running search aggregator using LLM Agents. The user can ask a question and the system will use a chain of LLMs to find the answer. The user can see the progress of the agents and the final answer. No OpenAI or Google API keys are needed.,2024-08-30T17:34:09Z,2024-03-23T08:53:25Z,52
res-downloader,https://github.com/putyy/res-downloader,5601,726,Go,putyy,视频号、小程序、抖音、快手、小红书、直播流、m3u8、酷狗、QQ音乐等常见网络资源下载!,2025-03-13T08:11:58Z,2023-09-01T08:03:47Z,30
feishu-openai,https://github.com/ConnectAI-E/feishu-openai,5567,958,Go,ConnectAI-E,🎒 飞书  ×（GPT-4 + GPT-4V + DALL·E-3 + Whisper）=  飞一般的工作体验  🚀 语音对话、角色扮演、多话题讨论、图片创作、表格分析、文档导出 🚀,2025-02-26T05:48:22Z,2023-02-07T10:18:28Z,83
huh,https://github.com/charmbracelet/huh,5213,156,Go,charmbracelet,Build terminal forms and prompts 🤷🏻‍♀️,2025-03-20T20:06:15Z,2023-10-11T16:59:24Z,16
go-backend-clean-architecture,https://github.com/amitshekhariitbhu/go-backend-clean-architecture,5093,540,Go,amitshekhariitbhu,"A Go (Golang) Backend Clean Architecture project with Gin, MongoDB, JWT Authentication Middleware, Test, and Docker.",2024-07-11T05:31:31Z,2023-01-08T04:50:47Z,12
gofr,https://github.com/gofr-dev/gofr,5092,689,Go,gofr-dev,An opinionated GoLang framework for accelerated microservice development. Built in support for databases and observability.,2025-03-21T05:38:35Z,2023-10-24T10:14:48Z,54
weaver,https://github.com/ServiceWeaver/weaver,4816,253,Go,ServiceWeaver,Programming framework for writing and deploying cloud applications.,2025-03-18T00:06:22Z,2023-01-04T16:54:28Z,3
pgroll,https://github.com/xataio/pgroll,4813,89,Go,xataio,PostgreSQL zero-downtime migrations made easy,2025-03-21T16:41:27Z,2023-06-22T15:29:36Z,70
ladder,https://github.com/everywall/ladder,4731,187,Go,everywall,Selfhosted alternative to 12ft.io. and 1ft.io bypass paywalls with a proxy ladder and remove CORS headers from any URL,2024-10-02T07:19:49Z,2023-11-01T21:09:49Z,16
mox,https://github.com/mjl-/mox,4650,138,Go,mjl-,modern full-featured open source secure mail server for low-maintenance self-hosted email,2025-03-21T17:45:04Z,2023-01-30T13:26:58Z,109
KillWxapkg,https://github.com/Ackites/KillWxapkg,4626,963,Go,Ackites,自动化反编译微信小程序，小程序安全评估工具，发现小程序安全问题，自动解密，解包，可还原工程目录，支持Hook，小程序修改,2024-09-20T04:13:15Z,2024-07-24T16:41:29Z,28
digger,https://github.com/diggerhq/digger,4463,563,Go,diggerhq,Digger is an open source IaC orchestration tool. Digger allows you to run IaC in your existing CI pipeline ⚡️  ,2025-03-17T22:24:18Z,2023-02-24T11:07:31Z,287
seek-tune,https://github.com/cgzirim/seek-tune,4111,457,Go,cgzirim,An implementation of Shazam's song recognition algorithm.,2025-03-15T13:23:46Z,2024-03-05T15:20:41Z,5
WuKongIM,https://github.com/WuKongIM/WuKongIM,4074,499,Go,WuKongIM,More than just IM 不只是即时通讯( IM ),2025-03-20T07:16:12Z,2023-05-09T01:46:51Z,32
