name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,54521,4531,Java,Stirling-Tools,#1 Locally hosted web application that allows you to perform various operations on PDF files,2025-03-20T09:48:10Z,2023-01-27T18:22:42Z,214
awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources,21696,5186,Java,ashishps1,Learn System Design concepts and prepare for interviews using free resources.,2025-03-04T06:12:46Z,2023-10-25T01:50:42Z,2
Chat2DB,https://github.com/CodePhiliaX/Chat2DB,21370,2349,Java,CodePhiliaX,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more.",2025-03-05T07:57:52Z,2023-06-20T14:05:26Z,437
conductor,https://github.com/conductor-oss/conductor,20392,556,Java,conductor-oss,Conductor is an event driven orchestration platform providing durable and highly resilient execution engine for your applications,2025-03-12T21:38:25Z,2023-12-08T06:06:09Z,38
pkl,https://github.com/apple/pkl,10540,297,Java,apple,A configuration as code language with rich validation and tooling.,2025-03-19T16:08:12Z,2024-01-19T17:28:45Z,135
xpipe,https://github.com/xpipe-io/xpipe,9760,339,Java,xpipe-io,Access your entire server infrastructure from your local desktop,2025-03-21T20:25:00Z,2023-01-27T02:25:38Z,41
spring-reading,https://github.com/xuchengsheng/spring-reading,9294,1154,Java,xuchengsheng,涵盖了 Spring 框架的核心概念和关键功能，包括控制反转（IOC）容器的使用，面向切面编程（AOP）的原理与实践，事务管理的方式与实现，Spring MVC 的流程与控制器工作机制，以及 Spring 中数据访问、安全、Boot 自动配置等方面的深入研究。此外，它还包含了 Spring 事件机制的应用、高级主题如缓存抽象和响应式编程，以及对 Spring 源码的编程风格与设计模式的深入探讨。,2024-07-29T06:13:59Z,2023-09-15T06:42:44Z,30
awesome-leetcode-resources,https://github.com/ashishps1/awesome-leetcode-resources,8968,2176,Java,ashishps1,Awesome LeetCode resources to learn Data Structures and Algorithms and prepare for Coding Interviews.,2025-02-28T21:09:27Z,2023-10-25T01:48:19Z,5
1brc,https://github.com/gunnarmorling/1brc,6828,1990,Java,gunnarmorling,1️⃣🐝🏎️ The One Billion Row Challenge -- A fun exploration of how quickly 1B rows from a text file can be aggregated with Java,2024-08-20T15:15:15Z,2023-12-28T09:13:24Z,28
langchain4j,https://github.com/langchain4j/langchain4j,6537,1228,Java,langchain4j,Java version of LangChain,2025-03-21T17:52:29Z,2023-06-20T15:30:29Z,380
midjourney-proxy,https://github.com/novicezk/midjourney-proxy,4979,2413,Java,novicezk,代理 MidJourney 的discord频道，实现api形式调用AI绘图,2025-01-15T14:32:39Z,2023-04-24T13:43:45Z,0
automq,https://github.com/AutoMQ/automq,4647,304,Java,AutoMQ,AutoMQ is a cloud-native alternative to Kafka by decoupling durability to S3 and EBS. 10x Cost-Effective. No Cross-AZ Traffic Cost. Autoscale in seconds. Single-digit ms latency.,2025-03-20T20:01:07Z,2023-08-17T07:50:13Z,62
spring-ai,https://github.com/spring-projects/spring-ai,4281,1151,Java,spring-projects,An Application Framework for AI Engineering,2025-03-21T12:20:29Z,2023-06-27T18:57:29Z,398
