name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
open-webui,https://github.com/open-webui/open-webui,84812,10330,JavaScript,open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",2025-03-21T19:33:52Z,2023-10-06T22:08:27Z,162
anything-llm,https://github.com/Mintplex-Labs/anything-llm,41494,3999,JavaScript,Mintplex-Labs,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, and more.",2025-03-21T00:10:09Z,2023-06-04T02:29:14Z,228
puter,https://github.com/HeyPuter/puter,29559,2187,JavaScript,HeyPuter,"🌐 The Internet OS! Free, Open-Source, and Self-Hostable.",2025-03-21T20:23:18Z,2024-03-03T01:44:32Z,174
desktop,https://github.com/zen-browser/desktop,27401,728,JavaScript,zen-browser,"A calmer internet, without any gimmicks.",2025-03-21T11:51:01Z,2024-03-28T00:05:55Z,904
drawdb,https://github.com/drawdb-io/drawdb,26154,1853,JavaScript,drawdb-io,"Free, simple, and intuitive online database diagram editor and SQL generator.",2025-03-20T22:44:21Z,2023-07-16T17:09:20Z,74
one-api,https://github.com/songquanpeng/one-api,23884,4990,JavaScript,songquanpeng,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI.",2025-02-21T11:30:22Z,2023-04-22T12:39:24Z,807
servers,https://github.com/modelcontextprotocol/servers,22559,2293,JavaScript,modelcontextprotocol,Model Context Protocol Servers,2025-03-21T15:03:19Z,2024-11-19T01:10:17Z,185
3x-ui,https://github.com/MHSanaei/3x-ui,17894,3753,JavaScript,MHSanaei,Xray panel supporting multi-protocol multi-user expire day & traffic & IP limit (Vmess & Vless & Trojan &  ShadowSocks & Wireguard) ,2025-03-21T15:31:01Z,2023-02-09T19:16:57Z,8
multipleWindow3dScene,https://github.com/bgstaal/multipleWindow3dScene,16925,2604,JavaScript,bgstaal,"A quick example of how one can ""synchronize"" a 3d scene across multiple windows using three.js and localStorage",2023-11-29T18:41:08Z,2023-11-23T11:03:22Z,25
ChatALL,https://github.com/ai-shifu/ChatALL,15652,1667,JavaScript,ai-shifu," Concurrently chat with ChatGPT, Bing Chat, Bard, Alpaca, Vicuna, Claude, ChatGLM, MOSS, 讯飞星火, 文心一言 and more, discover the best answers",2025-03-14T16:14:36Z,2023-04-08T10:34:30Z,220
KeepChatGPT,https://github.com/xcanwin/KeepChatGPT,14790,732,JavaScript,xcanwin,这是一款提高ChatGPT的数据安全能力和效率的插件。并且免费共享大量创新功能，如：自动刷新、保持活跃、数据安全、取消审计、克隆对话、言无不尽、净化页面、展示大屏、拦截跟踪、日新月异、明察秋毫等。让我们的AI体验无比安全、顺畅、丝滑、高效、简洁。,2025-03-19T12:26:38Z,2023-03-28T18:12:33Z,93
transformers.js,https://github.com/huggingface/transformers.js,13239,881,JavaScript,huggingface,"State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!",2025-03-19T22:01:02Z,2023-02-13T13:51:45Z,319
SillyTavern,https://github.com/SillyTavern/SillyTavern,12614,2978,JavaScript,SillyTavern,LLM Frontend for Power Users.,2025-03-21T20:00:57Z,2023-02-09T10:19:24Z,206
pot-desktop,https://github.com/pot-app/pot-desktop,11716,529,JavaScript,pot-app,🌈一个跨平台的划词翻译和OCR软件 | A cross-platform software for text translation and recognition.,2025-01-27T22:04:38Z,2023-02-26T13:52:11Z,292
chatGPTBox,https://github.com/josStorer/chatGPTBox,10438,801,JavaScript,josStorer,"Integrating ChatGPT into your browser deeply, everything you need is here",2025-01-31T10:37:06Z,2023-03-15T08:16:17Z,327
chai-aur-react,https://github.com/hiteshchoudhary/chai-aur-react,9654,1289,JavaScript,hiteshchoudhary,chai aur react series on youtube,2024-08-18T20:36:32Z,2023-08-17T17:38:48Z,52
react-bits,https://github.com/DavidHDev/react-bits,9430,339,JavaScript,DavidHDev,"An open source collection of animated, interactive & fully customizable React components for building stunning, memorable user interfaces.",2025-03-20T21:22:22Z,2024-08-06T06:54:54Z,3
BingGPT,https://github.com/dice2o/BingGPT,9190,707,JavaScript,dice2o,"Desktop application of new Bing's AI-powered chat (Windows, macOS and Linux)",2024-02-08T15:06:01Z,2023-02-16T00:37:19Z,235
llrt,https://github.com/awslabs/llrt,8295,366,JavaScript,awslabs,"LLRT (Low Latency Runtime) is an experimental, lightweight JavaScript runtime designed to address the growing demand for fast and efficient Serverless applications.",2025-03-21T17:45:38Z,2023-09-20T12:57:50Z,43
Cloudflare_vless_trojan,https://github.com/yonggekkk/Cloudflare_vless_trojan,8043,6470,JavaScript,yonggekkk,CF-workers/pages代理脚本【Vless与Trojan】，支持一键自建proxyip与CF反代IP，CF优选官方IP三地区应用脚本，自动输出美、亚、欧最佳优选IP,2025-02-14T09:06:12Z,2023-07-22T05:43:42Z,0
Sigma-Web-Dev-Course,https://github.com/CodeWithHarry/Sigma-Web-Dev-Course,7803,2364,JavaScript,CodeWithHarry,Source Code for Sigma Web Development Course,2024-11-05T13:28:33Z,2023-09-26T20:34:11Z,91
CF-Workers-docker.io,https://github.com/cmliu/CF-Workers-docker.io,7664,9233,JavaScript,cmliu,这个项目是一个基于 Cloudflare Workers 的 Docker 镜像代理工具。它能够中转对 Docker 官方镜像仓库的请求，解决一些访问限制和加速访问的问题。,2025-03-06T22:03:19Z,2024-06-10T19:13:56Z,37
apihub,https://github.com/hiteshchoudhary/apihub,7590,1214,JavaScript,hiteshchoudhary,"Your own API Hub to learn and master API interaction. Ideal for frontend, mobile dev and backend developers. ",2025-03-14T22:04:38Z,2023-05-20T17:17:16Z,15
nopecha-extension,https://github.com/NopeCHALLC/nopecha-extension,7497,111,JavaScript,NopeCHALLC,"Automated CAPTCHA solver for your browser. Works with Selenium, Puppeteer, Playwright, and more.",2024-11-23T09:10:57Z,2023-03-23T17:59:59Z,64
Noi,https://github.com/lencx/Noi,7286,545,JavaScript,lencx,"🚀 Power Your World with AI - Explore, Extend, Empower.",2025-03-16T05:32:26Z,2023-10-16T09:27:58Z,143
BPB-Worker-Panel,https://github.com/bia-pain-bache/BPB-Worker-Panel,6857,30960,JavaScript,bia-pain-bache,"A GUI Panel providing Worker subscriptions for VLESS, Trojan and Warp configs alongside chain proxies, offering full DNS, clean IP,  Fragment, Warp, Warp pro and routing settings for cross-platform clients using Sing-box, Clash/Mihomo and Xray cores.",2025-03-17T13:02:36Z,2024-01-19T17:58:28Z,5
ChatGPT-AutoExpert,https://github.com/spdustin/ChatGPT-AutoExpert,6650,472,JavaScript,spdustin,🚀🧠💬 Supercharged Custom Instructions for ChatGPT (non-coding) and ChatGPT Advanced Data Analysis (coding). ,2024-01-17T06:03:40Z,2023-09-29T01:48:59Z,1
nue,https://github.com/nuejs/nue,6643,197,JavaScript,nuejs,Standards first web framework,2025-03-21T17:29:29Z,2023-09-13T00:18:50Z,51
project_3D_developer_portfolio,https://github.com/adrianhajdin/project_3D_developer_portfolio,6624,1507,JavaScript,adrianhajdin,The most impressive websites in the world use 3D graphics and animations to bring their content to life. Learn how to build your own ThreeJS 3D Developer Portfolio today!,2024-10-29T09:21:29Z,2023-02-28T15:07:11Z,96
LiteLoaderQQNT,https://github.com/LiteLoaderQQNT/LiteLoaderQQNT,6595,256,JavaScript,LiteLoaderQQNT,QQNT 插件加载器：LiteLoaderQQNT —— 轻量 · 简洁 · 开源 · 福瑞,2025-02-19T03:25:23Z,2023-05-27T13:20:30Z,63
opencommit,https://github.com/di-sukharev/opencommit,6522,348,JavaScript,di-sukharev,GPT wrapper for git — generate commit messages with an LLM in 1 sec — works best with Claude 3.5 — supports local models too,2025-03-17T08:40:01Z,2023-03-06T10:30:51Z,144
wenda,https://github.com/wenda-LLM/wenda,6266,812,JavaScript,wenda-LLM,闻达：一个LLM调用平台。目标为针对特定环境的高效内容生成，同时考虑个人和中小企业的计算资源局限性，以及知识安全和私密性问题,2025-01-23T12:55:35Z,2023-03-25T10:46:39Z,53
MindSearch,https://github.com/InternLM/MindSearch,6226,628,JavaScript,InternLM,🔍 An LLM-based Multi-agent Framework of Web Search Engine (like Perplexity.ai Pro and SearchGPT),2025-01-08T09:34:38Z,2024-07-28T03:54:50Z,37
chai-backend,https://github.com/hiteshchoudhary/chai-backend,6193,939,JavaScript,hiteshchoudhary,A video series on chai aur code youtube channel,2024-08-18T12:06:33Z,2023-11-01T09:00:45Z,36
RealChar,https://github.com/Shaunwei/RealChar,6112,750,JavaScript,Shaunwei,"🎙️🤖Create, Customize and Talk to your AI Character/Companion in Realtime (All in One Codebase!). Have a natural seamless conversation with AI everywhere (mobile, web and terminal) using LLM OpenAI GPT3.5/4, Anthropic Claude2, Chroma Vector DB, Whisper Speech2Text, ElevenLabs Text2Speech🎙️🤖",2024-07-17T03:39:09Z,2023-06-26T20:51:02Z,71
RemoveAdblockThing,https://github.com/TheRealJoelmatic/RemoveAdblockThing,6106,330,JavaScript,TheRealJoelmatic," The intrusive ""Ad blocker are not allowed on YouTube""  message is annoying. This open-source project aims to address this issue by providing a solution to bypass YouTube's ad blocker detection",2024-12-24T20:21:57Z,2023-10-08T18:42:57Z,0
PairDrop,https://github.com/schlagmichdoch/PairDrop,6047,343,JavaScript,schlagmichdoch,"PairDrop: Transfer Files Cross-Platform. No Setup, No Signup.",2025-02-25T17:19:44Z,2023-01-07T13:25:11Z,72
chatgpt-web-midjourney-proxy,https://github.com/Dooy/chatgpt-web-midjourney-proxy,6024,1512,JavaScript,Dooy,"One UI is all done with chatgpt web, midjourney, gpts,suno,luma,runway,viggle,flux,ideogram,realtime,pika,udio; Simultaneous support  Web / PWA / Linux / Win / MacOS platform",2025-03-07T16:44:46Z,2023-11-19T03:18:59Z,33
Voyager,https://github.com/MineDojo/Voyager,5980,570,JavaScript,MineDojo,An Open-Ended Embodied Agent with Large Language Models,2024-04-03T18:51:36Z,2023-05-25T18:20:15Z,0
