name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
gkd,https://github.com/gkd-kit/gkd,25288,1275,Kotlin,gkd-kit,"基于无障碍，高级选择器，订阅规则的自定义屏幕点击 Android 应用 | An Android APP with custom screen tapping based on Accessibility, Advanced Selectors, and Subscription Rules",2025-03-21T13:48:42Z,2023-07-04T03:59:15Z,14
NekoBoxForAndroid,https://github.com/MatsuriDayo/NekoBoxForAndroid,13447,1122,Kotlin,MatsuriDayo,NekoBox for Android / sing-box / universal proxy toolchain for Android,2025-03-03T12:38:40Z,2023-03-04T13:26:16Z,88
mihon,https://github.com/mihonapp/mihon,12539,578,Kotlin,mihonapp,Free and open source manga reader for Android,2025-03-21T17:06:12Z,2024-01-15T20:03:57Z,321
ab-download-manager,https://github.com/amir1376/ab-download-manager,6687,375,Kotlin,amir1376,A Download Manager that speeds up your downloads,2025-03-15T16:17:31Z,2024-07-07T03:56:25Z,150
APatch,https://github.com/bmax121/APatch,5393,418,Kotlin,bmax121,The patching of Android kernel and Android system,2025-03-21T19:58:02Z,2023-08-21T14:20:01Z,22
Bluetooth-LE-Spam,https://github.com/simondankelmann/Bluetooth-LE-Spam,4280,343,Kotlin,simondankelmann,,2025-03-19T06:45:26Z,2023-10-20T11:54:26Z,0
my-tv-0,https://github.com/lizongying/my-tv-0,4006,477,Kotlin,lizongying,我的電視·〇 電視視頻播放軟件，可以自定義視頻源,2025-03-17T02:56:49Z,2024-03-07T08:36:02Z,54
ByeDPIAndroid,https://github.com/dovecoteescapee/ByeDPIAndroid,3751,198,Kotlin,dovecoteescapee,App to bypass censorship on Android,2024-09-05T06:01:40Z,2024-02-22T18:01:47Z,63
auto-dev,https://github.com/unit-mesh/auto-dev,3619,395,Kotlin,unit-mesh,"🧙‍AutoDev: The AI-powered coding wizard（AI  驱动编程助手）with multilingual support 🌐, auto code generation 🏗️, and a helpful bug-slaying assistant 🐞! Customizable prompts 🎨 and a magic Auto Dev/Testing/Document/Agent  feature 🧪 included! 🚀",2025-03-21T15:30:59Z,2023-04-14T13:46:07Z,0
revanced-patches,https://github.com/ReVanced/revanced-patches,3126,373,Kotlin,ReVanced,🧩 Patches for ReVanced,2025-03-21T12:05:13Z,2023-12-14T01:25:17Z,252
BiliRoamingX,https://github.com/BiliRoamingX/BiliRoamingX,2816,198,Kotlin,BiliRoamingX,BiliRoamingX integrations and patches powered by ReVanced.,2025-03-14T02:59:48Z,2023-06-25T07:40:44Z,22
SimpMusic,https://github.com/maxrave-dev/SimpMusic,2740,154,Kotlin,maxrave-dev,A simple music app using YouTube Music for backend,2025-03-09T10:08:46Z,2023-04-15T04:53:33Z,324
extensions-source,https://github.com/keiyoushi/extensions-source,2642,606,Kotlin,keiyoushi,Source code of extensions for Tachiyomi/Mihon and variants.,2025-03-21T17:27:47Z,2024-01-08T22:47:46Z,502
nextplayer,https://github.com/anilbeesetti/nextplayer,2476,125,Kotlin,anilbeesetti,An Android native video player,2025-03-20T10:59:00Z,2023-02-08T05:34:22Z,274
Dantotsu,https://github.com/rebelonion/Dantotsu,2022,147,Kotlin,rebelonion,Anilist client based on Saikou ,2025-03-20T13:29:47Z,2023-10-17T23:43:58Z,39
Canta,https://github.com/samolego/Canta,1900,40,Kotlin,samolego,"Uninstall any Android app without root (with power of Shizuku). Debloat your device as you wish, no PC required.",2025-03-18T10:19:29Z,2023-08-29T19:07:03Z,17
