name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
node,https://github.com/base/node,68539,2661,Shell,base,Everything required to run your own Base node,2025-03-19T20:22:18Z,2023-02-01T13:55:02Z,51
node,https://github.com/inkonchain/node,35079,529,Shell,inkonchain,How to run an Ink Node,2025-03-21T13:26:49Z,2024-05-13T23:20:40Z,6
windows,https://github.com/dockur/windows,33751,2364,Shell,dockur,Windows inside a Docker container.,2025-03-21T19:57:15Z,2024-01-14T13:09:40Z,27
Qwen2.5,https://github.com/QwenLM/Qwen2.5,16294,1138,Shell,QwenLM,"Qwen2.5 is the large language model series developed by Qwen team, Alibaba Cloud.",2025-03-14T08:32:54Z,2024-02-05T05:45:08Z,35
go-cursor-help,https://github.com/yuaotian/go-cursor-help,16080,2024,Shell,yuaotian,解决Cursor在免费订阅期间出现以下提示的问题:  You've reached your trial request limit.  /  Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.,2025-03-21T16:06:34Z,2024-12-09T07:07:09Z,17
ProxmoxVE,https://github.com/community-scripts/ProxmoxVE,12641,1037,Shell,community-scripts,Proxmox VE Helper-Scripts (Community Edition) ,2025-03-21T20:02:36Z,2024-11-01T14:06:43Z,6
macos,https://github.com/dockur/macos,11278,415,Shell,dockur,macOS inside a Docker container.,2025-03-20T22:21:31Z,2024-06-02T19:42:37Z,8
hyprdots,https://github.com/prasanthrangan/hyprdots,8681,950,Shell,prasanthrangan,"// Aesthetic, dynamic and minimal dots for Arch hyprland",2025-02-25T09:05:31Z,2023-04-03T06:54:41Z,72
claude-code,https://github.com/anthropics/claude-code,6658,334,Shell,anthropics,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",2025-03-11T23:39:42Z,2025-02-22T17:41:21Z,224
xiaoya-alist,https://github.com/xiaoyaDev/xiaoya-alist,6485,956,Shell,xiaoyaDev,小雅Alist的相关周边,2025-03-21T13:05:22Z,2024-01-05T13:32:02Z,79
orbstack,https://github.com/orbstack/orbstack,6447,55,Shell,orbstack,"Fast, light, simple Docker containers & Linux machines",2024-09-21T02:38:47Z,2023-02-17T09:27:53Z,253
rr,https://github.com/RROrg/rr,6140,998,Shell,RROrg,Redpill Recovery (arpl-i18n),2025-03-18T15:20:07Z,2023-04-08T10:16:33Z,64
omakub,https://github.com/basecamp/omakub,6080,577,Shell,basecamp,Opinionated Ubuntu Setup,2025-03-18T11:02:46Z,2024-05-25T20:51:27Z,7
try,https://github.com/binpash/try,5254,72,Shell,binpash,Inspect a command's effects before modifying your live system,2025-02-25T00:58:07Z,2023-05-17T19:15:04Z,27
gaianet-node,https://github.com/GaiaNet-AI/gaianet-node,4929,285,Shell,GaiaNet-AI,Install and run your own AI agent service,2025-03-21T13:57:51Z,2024-03-06T10:57:45Z,35
bazzite,https://github.com/ublue-os/bazzite,4927,344,Shell,ublue-os,Bazzite is a custom Fedora Atomic image built with cloud native technology that brings the best of Linux gaming to all of your devices - including your favorite handheld.,2025-03-21T06:49:38Z,2023-02-09T19:05:47Z,241
llama-dl,https://github.com/shawwn/llama-dl,4163,418,Shell,shawwn,"High-speed download of LLaMA, Facebook's 65B parameter GPT model",2023-06-28T16:56:55Z,2023-03-05T03:28:45Z,9
warp-yg,https://github.com/yonggekkk/warp-yg,3839,991,Shell,yonggekkk,warp多功能一键脚本，支持warp-go与wgcf切换，无限生成warp配置文件，支持升级warp+、warp团队账户，查看VPS本地IP、netflix、chatgpt解锁状态,2025-03-13T12:42:11Z,2023-01-19T00:24:12Z,16
sing-box-yg,https://github.com/yonggekkk/sing-box-yg,3582,1531,Shell,yonggekkk,Sing-box精装桶四合一协议VPS专用脚本：三大独家功能！自签/acme双证书切换、Argo固定临时双隧道（可共存）、Psiphon赛风VPN（30个国家）分流功能。Serv00/Hostuno三合一代理脚本【独家支持网页端四大功能：保活、重启、重置端口，查看节点】,2025-03-21T07:14:39Z,2023-10-22T07:08:11Z,1
linutil,https://github.com/ChrisTitusTech/linutil,3368,277,Shell,ChrisTitusTech,Chris Titus Tech's Linux Toolbox - Linutil is a distro-agnostic toolbox designed to simplify everyday Linux tasks.,2025-02-28T21:21:15Z,2024-05-14T20:14:47Z,34
mobox,https://github.com/olegos2/mobox,3362,158,Shell,olegos2,,2024-11-23T06:35:32Z,2023-11-23T15:42:50Z,366
IPQuality,https://github.com/xykt/IPQuality,3152,250,Shell,xykt,A script for IP quality detection,2025-03-20T08:34:44Z,2024-04-19T09:34:06Z,0
Synology_HDD_db,https://github.com/007revad/Synology_HDD_db,3104,206,Shell,007revad,"Add your HDD, SSD and NVMe drives to your Synology's compatible drive database and a lot more",2025-03-21T06:19:10Z,2023-02-26T02:59:13Z,16
TOTK-Mods-collection,https://github.com/hoverbike1/TOTK-Mods-collection,3076,204,Shell,hoverbike1,Mod repo for Tears of The Kingdom (TOTK) for Switch and Switch Emulation,2024-08-26T22:04:20Z,2023-05-13T08:20:17Z,4
revanced-extended,https://github.com/NoName-exe/revanced-extended,3066,92,Shell,NoName-exe,ReVanced eXtended YT and YT-M for both root and non-root users.,2025-03-17T00:30:36Z,2023-01-03T06:50:13Z,0
ubuntu-rockchip,https://github.com/Joshua-Riek/ubuntu-rockchip,3042,326,Shell,Joshua-Riek,Ubuntu for Rockchip RK35XX Devices,2025-01-24T03:04:14Z,2023-01-11T02:36:24Z,33
virtual-dsm,https://github.com/vdsm/virtual-dsm,3036,398,Shell,vdsm,Virtual DSM in a Docker container.,2025-03-20T22:21:43Z,2023-03-26T18:18:59Z,19
XcodeLLMEligible,https://github.com/Kyle-Ye/XcodeLLMEligible,3032,173,Shell,Kyle-Ye,,2025-02-23T04:35:35Z,2024-07-14T16:50:30Z,5
clash-for-linux-backup,https://github.com/Elegycloud/clash-for-linux-backup,2993,1225,Shell,Elegycloud,基于Clash Core 制作的Clash For Linux备份仓库      A Clash For Linux Backup Warehouse Based on Clash Core,2025-01-24T13:21:27Z,2023-11-08T06:16:26Z,46
JimsGarage,https://github.com/JamesTurland/JimsGarage,2985,628,Shell,JamesTurland,Homelab Goodies,2025-03-08T00:20:08Z,2023-05-28T07:37:05Z,37
zhuque,https://github.com/TrionesType/zhuque,2937,38,Shell,TrionesType,朱雀仿宋/朱雀宋朝/Zhuque Fangsong: An open-source Fangsong typeface project,2024-12-23T10:13:49Z,2023-08-21T12:02:19Z,13
SpotX-Bash,https://github.com/SpotX-Official/SpotX-Bash,2910,103,Shell,SpotX-Official,"SpotX Mac and Linux adblocker for the Spotify desktop client, in Bash",2025-03-19T02:05:23Z,2023-01-30T15:51:05Z,0
docker-xiaoya,https://github.com/monlor/docker-xiaoya,2827,374,Shell,monlor,"💡 Use Docker Compose to deploy Xiaoya services in a more elegant way, supports one-click deployment of Alist + Emby + Jellyfin, full-platform support, Linux/Windows/Mac/Synology, X86/Arm architecture",2025-03-06T03:57:22Z,2024-05-29T10:24:09Z,39
docker-rollout,https://github.com/wowu/docker-rollout,2645,76,Shell,wowu,🚀 Zero Downtime Deployment for Docker Compose,2025-02-22T12:28:13Z,2023-02-06T20:44:36Z,2
palworld-server-docker,https://github.com/thijsvanloef/palworld-server-docker,2564,310,Shell,thijsvanloef,A Docker Container to easily run a Palworld dedicated server.,2025-03-19T15:51:00Z,2024-01-19T08:24:38Z,16
x-ui-yg,https://github.com/yonggekkk/x-ui-yg,2522,948,Shell,yonggekkk,x-ui精简修改版脚本，支持最新的Xhttp传输协议，集成argo固定临时双隧道（可共存）、Psiphon赛风VPN（30个国家）分流功能，支持部分节点聚合订阅、sing-box订阅、clash-meta订阅的配置输出,2025-03-12T01:30:37Z,2023-02-13T08:47:50Z,0
Sing-box,https://github.com/eooce/Sing-box,2501,982,Shell,eooce,既然来了，就留下你的Star吧！Serv00 | CT8 | VPS | 游戏机 | sing-box(reality + hy2 + vmess-argo +tuic5)四合一无交互一键安装脚本(已适配Alpine)，支持纯V6 vps，默认解锁GPT和奈飞,2025-03-12T15:01:18Z,2023-09-30T12:41:00Z,4
unlocking-the-power-of-llms,https://github.com/howl-anderson/unlocking-the-power-of-llms,2497,158,Shell,howl-anderson,使用 Prompts 和 Chains 让 ChatGPT 成为神奇的生产力工具！Unlocking the power of LLMs.,2023-05-11T16:04:16Z,2023-02-16T22:52:44Z,2
Arch-Hyprland,https://github.com/JaKooLit/Arch-Hyprland,2385,211,Shell,JaKooLit,For automated installation of Hyprland on Arch Linux or any Arch Linux-based distros,2025-03-21T13:25:29Z,2023-10-26T02:00:02Z,5
clash-for-linux,https://github.com/wnlen/clash-for-linux,2234,746,Shell,wnlen,clash-for-linux,2023-12-12T12:33:58Z,2023-11-25T09:22:41Z,50
dotfiles,https://github.com/mylinuxforwork/dotfiles,2139,181,Shell,mylinuxforwork,The ML4W Dotfiles for Hyprland - An advanced and full-featured configuration for the dynamic tiling window manager Hyprland including an easy to use installation script for Arch and Fedora based Linux distributions.,2025-03-18T13:50:24Z,2024-07-19T08:19:12Z,115
huly-selfhost,https://github.com/hcengineering/huly-selfhost,2113,184,Shell,hcengineering,Huly for Self Hosting,2025-03-21T08:07:36Z,2024-03-12T12:17:47Z,57
serv00-play,https://github.com/frankiejun/serv00-play,2054,2721,Shell,frankiejun,"serv00/hostuno 上的一些应用，包括argo+vmess/vmess+ws/hy2/socks5/mtproto/alist/哪吒探针 等, 自动化部署、批量保号、进程防杀、消息推送",2025-03-21T13:20:27Z,2024-08-11T04:19:02Z,3
SSH-Snake,https://github.com/MegaManSec/SSH-Snake,2043,197,Shell,MegaManSec,"SSH-Snake is a self-propagating, self-replicating, file-less script that automates the post-exploitation task of SSH private key and host discovery.",2024-07-25T09:32:07Z,2023-12-03T04:52:38Z,1
alacritty-theme,https://github.com/alacritty/alacritty-theme,2036,165,Shell,alacritty,Collection of Alacritty color schemes,2025-03-20T16:46:07Z,2023-01-19T23:17:54Z,0
winapps,https://github.com/winapps-org/winapps,2031,83,Shell,winapps-org," Run Windows apps such as Microsoft Office/Adobe in Linux (Ubuntu/Fedora) and GNOME/KDE as if they were a part of the native OS, including Nautilus integration. Hard fork of https://github.com/Fmstrat/winapps/",2025-03-21T14:01:53Z,2023-07-05T15:05:25Z,83
self-consistent-coder,https://github.com/zhangchenchen/self-consistent-coder,1999,92,Shell,zhangchenchen,如何成为一名自洽的程序员,2025-03-14T00:54:55Z,2025-01-09T06:49:53Z,10
pds,https://github.com/bluesky-social/pds,1958,212,Shell,bluesky-social,"Bluesky PDS (Personal Data Server) container image, compose file, and documentation",2025-03-10T22:06:05Z,2023-05-01T20:08:15Z,76
Olares,https://github.com/beclab/Olares,1923,63,Shell,beclab,Olares: An Open-Source Sovereign Cloud OS for Local AI,2025-03-21T18:49:23Z,2024-04-29T05:43:58Z,22
unshackle,https://github.com/Fadi002/unshackle,1886,125,Shell,Fadi002,Open-source tool to bypass windows and linux passwords from bootable usb,2023-11-10T19:48:10Z,2023-07-19T22:30:28Z,4
Oracle-server-keep-alive-script,https://github.com/spiritLHLS/Oracle-server-keep-alive-script,1810,433,Shell,spiritLHLS,服务器资源占用脚本(甲骨文服务器保活脚本)(Oracle Server Keep Alive Script),2025-03-06T04:47:24Z,2023-02-01T13:23:16Z,0
sing-box,https://github.com/fscarmen/sing-box,1742,379,Shell,fscarmen,Sing-box 全家桶 --- 一键多协议脚本,2025-03-18T05:43:19Z,2023-09-30T15:19:56Z,5
Xray,https://github.com/233boy/Xray,1639,825,Shell,233boy,最好用的 Xray 一键安装脚本 & 管理脚本,2025-02-08T06:48:14Z,2023-05-07T10:50:29Z,63
bluefin,https://github.com/ublue-os/bluefin,1561,183,Shell,ublue-os,"The next generation Linux workstation, designed for reliability, performance, and sustainability.",2025-03-21T06:49:47Z,2023-03-08T18:39:32Z,81
openai-gpt-dev-notes-for-cn-developer,https://github.com/easychen/openai-gpt-dev-notes-for-cn-developer,1493,100,Shell,easychen,如何快速开发一个OpenAI/GPT应用：国内开发者笔记,2023-05-14T09:28:46Z,2023-03-07T05:51:52Z,4
NucleiFuzzer,https://github.com/0xKayala/NucleiFuzzer,1476,223,Shell,0xKayala,"NucleiFuzzer is a robust automation tool that efficiently detects web application vulnerabilities, including XSS, SQLi, SSRF, and Open Redirects, leveraging advanced scanning and URL enumeration techniques",2025-01-27T09:24:17Z,2023-05-22T16:21:15Z,0
windows-arm,https://github.com/dockur/windows-arm,1447,133,Shell,dockur,Windows for ARM in a Docker container.,2025-03-20T22:21:36Z,2024-02-03T18:10:36Z,1
dockcheck,https://github.com/mag37/dockcheck,1424,43,Shell,mag37,"CLI tool to automate docker image updates. Selective, notifications, autoprune, no pre-pulling.",2025-03-19T20:39:17Z,2023-01-18T10:47:49Z,6
docker-registry-mirrors,https://github.com/kubesre/docker-registry-mirrors,1393,129,Shell,kubesre,"多平台容器镜像代理服务,支持 Docker Hub, GitHub, Google, k8s, Quay, Microsoft 等镜像仓库.",2025-02-25T07:32:29Z,2024-06-06T10:01:36Z,14
Doprax-Xray,https://github.com/yonggekkk/Doprax-Xray,1384,5384,Shell,yonggekkk,Doprax一键五协议共存脚本：Xray内核，支持vless，vmess，trojan，shadowsocks，socks五协议同时在线，支持Cloudflare Argo隧道自动生成分享链接,2024-01-15T06:57:00Z,2023-01-07T05:11:51Z,0
ArgoX,https://github.com/fscarmen/ArgoX,1345,503,Shell,fscarmen,Argo Xray for VPS one-click script. 一键脚本,2025-01-24T01:52:16Z,2023-02-16T09:29:16Z,5
HyDE,https://github.com/HyDE-Project/HyDE,1336,138,Shell,HyDE-Project,"Portable and extensible  re-work  of prasanthrangan/hyprdots // Aesthetic, dynamic and minimal dots for Arch  Hyprland // Going beyond ",2025-03-21T15:43:41Z,2024-10-26T07:06:20Z,39
Fedora-Hyprland,https://github.com/JaKooLit/Fedora-Hyprland,1333,93,Shell,JaKooLit,For automated installation of Hyprland on Fedora (latest release) or any Fedora based distros,2025-03-21T13:25:24Z,2023-09-22T14:34:13Z,2
reality-ezpz,https://github.com/aleskxyz/reality-ezpz,1267,193,Shell,aleskxyz,"Install sing-box/xray and configure vless / tuic / hysteria2 / shadowtls for reality or tls (letsencrypt) over different transport protocols (tcp, http, grpc and websocket) with user management capability in CLI, TUI and Telegram bot by a single command in docker compose!",2024-10-20T14:41:33Z,2023-04-17T13:50:00Z,25
vps-audit,https://github.com/vernu/vps-audit,1215,93,Shell,vernu,"lightweight, dependency-free bash script for security, performance auditing and infrastructure monitoring of Linux servers.",2025-02-23T22:02:19Z,2024-12-13T10:30:53Z,4
ZimaOS,https://github.com/IceWhaleTech/ZimaOS,1186,54,Shell,IceWhaleTech,,2025-03-14T09:23:28Z,2023-09-26T07:33:56Z,113
getNode,https://github.com/Flikify/getNode,1154,110,Shell,Flikify,每小时更新最新的Clash、v2ray节点信息,2025-03-21T18:32:27Z,2023-01-10T14:38:23Z,10
OrangePiShell,https://github.com/wukongdaily/OrangePiShell,1084,360,Shell,wukongdaily,在Linux上快速部署一些好用的docker项目。起初只是为了香橙派制作。推荐使用1panel面板轻松管理docker。,2024-12-25T03:32:41Z,2024-04-14T12:22:17Z,6
