name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
Ice,https://github.com/jordanbaird/Ice,17468,313,Swift,jordanbaird,Powerful menu bar manager for macOS,2025-01-26T16:33:49Z,2023-08-04T22:51:56Z,125
Whisky,https://github.com/Whisky-App/Whisky,14124,313,Swift,Whisky-App,A modern Wine wrapper for macOS built with SwiftUI,2024-11-10T01:05:36Z,2023-03-23T15:05:09Z,433
AeroSpace,https://github.com/nikitabobko/AeroSpace,11100,214,Swift,nikitabobko,AeroSpace is an i3-like tiling window manager for macOS,2025-03-12T20:01:16Z,2023-05-21T20:20:17Z,148
Loop,https://github.com/MrKai77/Loop,7925,159,Swift,MrKai77,Window management made elegant.,2025-03-18T07:33:46Z,2023-01-24T18:33:33Z,85
Pearcleaner,https://github.com/alienator88/Pearcleaner,5712,130,Swift,alienator88,"A free, source-available and fair-code licensed mac app cleaner",2025-03-21T00:41:29Z,2023-11-13T03:55:50Z,1
QuickRecorder,https://github.com/lihaoyun6/QuickRecorder,5537,287,Swift,lihaoyun6,A lightweight screen recorder based on ScreenCapture Kit for macOS / 基于 ScreenCapture Kit 的轻量化多功能 macOS 录屏工具,2025-02-04T16:49:25Z,2024-04-21T13:45:19Z,90
enchanted,https://github.com/gluonfield/enchanted,5062,322,Swift,gluonfield,"Enchanted is iOS and macOS app for chatting with private self hosted language models such as Llama2, Mistral or Vicuna using Ollama.",2025-03-19T20:19:21Z,2023-12-13T18:55:26Z,88
NearDrop,https://github.com/grishka/NearDrop,4924,173,Swift,grishka,An unofficial Google Nearby Share/Quick Share app for macOS,2024-12-03T18:11:38Z,2023-04-13T17:42:14Z,74
Applite,https://github.com/milanvarady/Applite,4726,114,Swift,milanvarady,User-friendly GUI macOS application for Homebrew Casks,2025-03-07T08:46:32Z,2023-08-03T20:35:19Z,7
EeveeSpotify,https://github.com/whoeevee/EeveeSpotify,4421,330,Swift,whoeevee,"A tweak to get Spotify Premium for free, just like Spotilife",2025-03-19T23:20:49Z,2024-04-20T19:27:50Z,19
WhisperKit,https://github.com/argmaxinc/WhisperKit,4414,377,Swift,argmaxinc,On-device Speech Recognition for Apple Silicon,2025-02-22T02:45:54Z,2024-01-26T07:11:52Z,62
cheetah,https://github.com/leetcode-mafia/cheetah,4167,296,Swift,leetcode-mafia,Mac app for crushing tech interviews with AI,2025-01-14T21:52:44Z,2023-03-26T21:31:29Z,18
thumbhash,https://github.com/evanw/thumbhash,3723,76,Swift,evanw,A very compact representation of an image placeholder,2024-05-26T10:17:57Z,2023-03-22T06:59:53Z,11
CopilotForXcode,https://github.com/github/CopilotForXcode,3518,563,Swift,github,Xcode extension for GitHub Copilot,2025-03-11T03:41:47Z,2024-09-19T17:48:15Z,60
TrollFools,https://github.com/Lessica/TrollFools,2939,202,Swift,Lessica,In-place tweak injection with insert_dylib and ChOma.,2025-03-17T10:17:22Z,2024-07-19T15:53:01Z,0
Queryable,https://github.com/mazzzystar/Queryable,2821,436,Swift,mazzzystar,Run OpenAI's CLIP and Apple's MobileCLIP model on iOS to search photos.,2025-01-04T04:45:11Z,2023-07-09T01:27:40Z,13
boring.notch,https://github.com/TheBoredTeam/boring.notch,2814,159,Swift,TheBoredTeam,TheBoringNotch: Not so boring notch That Rocks 🎸🎶,2025-03-16T06:32:08Z,2024-08-02T06:48:39Z,183
