name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
dify,https://github.com/langgenius/dify,84527,12476,TypeScript,langgenius,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",2025-03-21T13:59:13Z,2023-04-12T07:40:24Z,583
ui,https://github.com/shadcn-ui/ui,83765,5598,TypeScript,shadcn-ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",2025-03-20T09:03:42Z,2023-01-04T12:43:27Z,844
NextChat,https://github.com/ChatGPTNextWeb/NextChat,82104,61028,TypeScript,ChatGPTNextWeb,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,2025-03-20T09:52:02Z,2023-03-10T18:27:54Z,607
lobe-chat,https://github.com/lobehub/lobe-chat,57997,12298,TypeScript,lobehub,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / DeepSeek / Qwen), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Plugins/Artifacts) and Thinking. One-click FREE deployment of your private ChatGPT/ Claude / DeepSeek application.",2025-03-21T16:00:30Z,2023-05-21T07:19:12Z,623
clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,51661,4043,TypeScript,clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",2025-03-21T20:34:46Z,2023-11-21T18:24:03Z,225
ragflow,https://github.com/infiniflow/ragflow,46016,4208,TypeScript,infiniflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,2025-03-21T13:10:27Z,2023-12-12T06:13:13Z,1544
Flowise,https://github.com/FlowiseAI/Flowise,36430,19019,TypeScript,FlowiseAI,Drag & drop UI to build your customized LLM flow,2025-03-21T17:16:25Z,2023-03-31T12:23:09Z,503
cline,https://github.com/cline/cline,35911,3648,TypeScript,cline,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",2025-03-21T20:40:51Z,2024-07-06T07:28:10Z,452
ink-kit,https://github.com/inkonchain/ink-kit,34865,354,TypeScript,inkonchain,"Onchain-focused SDK with ready-to-use templates, themes, and magical animated components ✨",2025-03-19T11:52:07Z,2024-11-04T16:32:17Z,1
Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,34294,5812,TypeScript,chatchat-space,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ",2024-11-29T05:06:44Z,2023-03-31T12:12:45Z,192
chatbox,https://github.com/chatboxai/chatbox,33523,3193,TypeScript,chatboxai,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)",2025-03-20T15:20:56Z,2023-03-06T12:22:15Z,605
AgentGPT,https://github.com/reworkd/AgentGPT,33465,9373,TypeScript,reworkd,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.",2025-03-10T21:21:44Z,2023-04-07T02:29:19Z,126
firecrawl,https://github.com/mendableai/firecrawl,32050,2742,TypeScript,mendableai,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API.",2025-03-21T14:04:42Z,2024-04-15T21:02:29Z,133
shardeum,https://github.com/shardeum/shardeum,31963,682,TypeScript,shardeum,Shardeum is an EVM based autoscaling blockchain,2025-03-21T19:48:35Z,2024-04-16T22:37:25Z,13
chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,30575,8527,TypeScript,mckaywrigley,AI chat for any model.,2024-08-03T00:38:07Z,2023-03-11T14:53:14Z,160
jan,https://github.com/menloresearch/jan,28131,1646,TypeScript,menloresearch,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer,2025-03-21T15:45:26Z,2023-08-17T02:17:10Z,142
continue,https://github.com/continuedev/continue,24751,2461,TypeScript,continuedev,"⏩ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of models, rules, prompts, docs, and other building blocks",2025-03-21T20:01:41Z,2023-05-24T03:39:39Z,667
web-check,https://github.com/Lissy93/web-check,24484,1909,TypeScript,Lissy93,🕵️‍♂️ All-in-one OSINT tool for analysing any website,2025-03-16T02:16:19Z,2023-06-25T14:32:11Z,52
openai-translator,https://github.com/openai-translator/openai-translator,24282,1767,TypeScript,openai-translator,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2024-11-16T20:34:00Z,2023-03-04T05:21:09Z,475
LibreChat,https://github.com/danny-avila/LibreChat,23484,3923,TypeScript,danny-avila,"Enhanced ChatGPT Clone: Features Agents, DeepSeek, Anthropic, AWS, OpenAI, Assistants API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project.",2025-03-21T20:12:39Z,2023-02-12T01:06:52Z,135
Folo,https://github.com/RSSNext/Folo,23410,984,TypeScript,RSSNext,🧡 Follow everything in one place,2025-03-21T16:40:26Z,2024-04-08T03:23:35Z,237
FastGPT,https://github.com/labring/FastGPT,22969,5905,TypeScript,labring,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",2025-03-21T18:16:59Z,2023-02-23T16:53:25Z,472
