Hash,Date,Author,Message,IsMerge
96ab19ebeba1abff35a6ebc08e674b63f2f16461,2022-05-20 11:39:59,Deep,update CONTRIBUTING.md,False
2d06e067e4ae6b02c7945fd48676c12ae7c82b92,2022-05-20 08:42:40,Gcaufy,"Merge pull request #2739 from Tencent/dependabot/npm_and_yarn/ssri-6.0.2

chore(deps): bump ssri from 6.0.1 to 6.0.2",True
17b83d215eec1eae3c54e8fb97741984b1e062aa,2022-05-20 08:41:59,Gcaufy,"Merge pull request #2660 from dev-itsheng/2020-07-19-support-json-include

增加对 json 文件格式的支持。",True
df45e2106e91bf7e7340f21559a218180b6eb63d,2022-05-20 08:40:29,Gcaufy,"Merge pull request #2758 from SpringHgui/patch-2

支持useExtendedLib导入weui",True
8acb8bd1cc3029bb17088dd428f8bfb943e33ddd,2022-05-20 08:37:24,Gcaufy,"Merge pull request #2716 from Tencent/dependabot/npm_and_yarn/packages/cli/bl-1.2.3

chore(deps): bump bl from 1.2.2 to 1.2.3 in /packages/cli",True
ed677c3c86d176c98ca0d2e2405ab8f2c9849ae8,2022-05-20 08:37:16,Gcaufy,"Merge pull request #2742 from Tencent/dependabot/npm_and_yarn/handlebars-4.7.7

chore(deps): bump handlebars from 4.7.6 to 4.7.7",True
e9a4e3b7233c166ef5a8143af0716ae64ed0db89,2022-05-20 08:37:12,dependabot[bot],"chore(deps): bump bl from 1.2.2 to 1.2.3 in /packages/cli

Bumps [bl](https://github.com/rvagg/bl) from 1.2.2 to 1.2.3.
- [Release notes](https://github.com/rvagg/bl/releases)
- [Commits](https://github.com/rvagg/bl/compare/v1.2.2...v1.2.3)

Signed-off-by: dependabot[bot] <support@github.com>",False
51a3bbfd02a8d7b97bd95d5777c065ff646126ce,2022-05-20 08:37:05,Gcaufy,"Merge pull request #2743 from Tencent/dependabot/npm_and_yarn/packages/cli/handlebars-4.7.7

chore(deps): bump handlebars from 4.7.6 to 4.7.7 in /packages/cli",True
ca1ec6b0a9badf4c72ea420714786c572941fbc1,2022-05-20 08:36:50,Gcaufy,"Merge pull request #2744 from Tencent/dependabot/npm_and_yarn/packages/cli/lodash-4.17.21

chore(deps): bump lodash from 4.17.19 to 4.17.21 in /packages/cli",True
12760e5d051238190fa728359bf68ee7f1afbdb7,2022-05-20 08:36:42,dependabot[bot],"chore(deps): bump lodash from 4.17.19 to 4.17.21 in /packages/cli

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.19 to 4.17.21.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.19...4.17.21)

Signed-off-by: dependabot[bot] <support@github.com>",False
51a577781a7425f264c3032431c3be3220283f16,2022-05-20 08:36:39,Gcaufy,"Merge pull request #2745 from Tencent/dependabot/npm_and_yarn/hosted-git-info-2.8.9

chore(deps): bump hosted-git-info from 2.8.8 to 2.8.9",True
0424928576f5f574440964515dc0133db087e77b,2022-05-20 08:36:28,Gcaufy,"Merge pull request #2746 from Tencent/dependabot/npm_and_yarn/packages/babel-plugin-import-regenerator/lodash-4.17.21

chore(deps): bump lodash from 4.17.19 to 4.17.21 in /packages/babel-plugin-import-regenerator",True
b16b1f4a16996bad6b86e881fb0d7c4c0a81446f,2022-05-20 08:36:16,Gcaufy,"Merge pull request #2759 from Tencent/dependabot/npm_and_yarn/packages/babel-plugin-import-regenerator/path-parse-1.0.7

chore(deps): bump path-parse from 1.0.6 to 1.0.7 in /packages/babel-plugin-import-regenerator",True
03d683ac7d5549cf0f110a6a7d92f34b89904ac8,2022-05-20 08:36:10,dependabot[bot],"chore(deps): bump path-parse

Bumps [path-parse](https://github.com/jbgutierrez/path-parse) from 1.0.6 to 1.0.7.
- [Release notes](https://github.com/jbgutierrez/path-parse/releases)
- [Commits](https://github.com/jbgutierrez/path-parse/commits/v1.0.7)

---
updated-dependencies:
- dependency-name: path-parse
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
62f1536bb0fa22d4283c85d6e9ddcb0af59bde9c,2022-05-20 08:36:06,Gcaufy,"Merge pull request #2747 from Tencent/dependabot/npm_and_yarn/packages/core/lodash-4.17.21

chore(deps): bump lodash from 4.17.19 to 4.17.21 in /packages/core",True
e4c48eac98f26bd63531b76ac4054771a411ba6b,2022-05-20 08:35:50,Gcaufy,"Merge pull request #2748 from Tencent/dependabot/npm_and_yarn/packages/compiler-babel/lodash-4.17.21

chore(deps): bump lodash from 4.17.19 to 4.17.21 in /packages/compiler-babel",True
b8cd8ca63d1ff8c0a4b29c16830fff3dae82454d,2022-05-20 08:35:40,Gcaufy,"Merge pull request #2751 from Tencent/dependabot/npm_and_yarn/packages/core/glob-parent-5.1.2

chore(deps): bump glob-parent from 5.1.1 to 5.1.2 in /packages/core",True
6aa2bbf3d005cfc10bbe8a11ed569eaa43d23335,2022-05-20 08:35:28,Gcaufy,"Merge pull request #2752 from Tencent/dependabot/npm_and_yarn/packages/compiler-sass/glob-parent-5.1.2

chore(deps): bump glob-parent from 5.1.1 to 5.1.2 in /packages/compiler-sass",True
f90ba2575f570703fe667d44587517619bbfb0a9,2022-05-20 08:35:09,Gcaufy,"Merge pull request #2760 from Tencent/dependabot/npm_and_yarn/packages/compiler-babel/path-parse-1.0.7

chore(deps): bump path-parse from 1.0.6 to 1.0.7 in /packages/compiler-babel",True
b7db3210e372d334d40762beccee3ddf94f8baa6,2022-05-20 08:34:54,Gcaufy,"Merge pull request #2763 from Tencent/dependabot/npm_and_yarn/tar-4.4.19

chore(deps): bump tar from 4.4.13 to 4.4.19",True
