Hash,Date,Author,Message,IsMerge
d5703c0a81be2c467122905b6578dd6137dd6303,2024-07-08 08:54:12,JG,Update README.md,False
ba240d4711332698654da208795204293caf38e5,2024-06-25 14:29:22,JG,Update README.md,False
f13a1b393b8275e224b3bf895cb0c7fa901af655,2024-06-25 14:00:44,JG,"Merge pull request #370 from daming-lu/bugfix_error_folder

exclude error folder",True
7e55944f51e9fb049983c9cee6433a24b9cf25fe,2024-06-25 05:19:12,daming.lu,"exclude error folder

Change-Id: I54ceece9eaecdf44813ecd0dc73d4cce7ce7a841",False
5a6bd661346f6b2df7cf3d13270c30b2c2c3d118,2024-05-17 07:54:52,JG,Update README.md,False
eb917dc6aac027167ba2a5c131c591bd9f217b28,2024-05-17 07:54:22,JG,Update README.md fix #367,False
efa52050b3e3b18f7c622d2456da39196e707fd7,2023-11-27 13:37:33,JG,"Merge pull request #352 from CanvaChen/master

字和标点修正",True
2324463eefd7af533ffa06f53caede00e2369d25,2023-11-27 13:37:07,JG,"Merge pull request #354 from liu0hy/fix-link-errors

修正READEME.md中的链接错误",True
3976a35a539738f2c89ceb6b6a68f385a0e9dc0e,2023-11-27 13:36:39,JG,"Merge pull request #357 from KonghaYao/fixture/shuimotangshi

fix(水墨唐诗): 修复田家行的内容缺失",True
ac9bad3684181d3122baf43e080b0dd8e3ae942d,2023-11-25 17:40:11,江夏尧,fix(水墨唐诗): 修复田家行的内容缺失,False
c1236c34d12fb2a4a2037099320563ee338b4c52,2023-10-30 08:10:51,liu0hy,修正READEME.md中的链接错误,False
d651e494e0ecb49555f9f473aa7c97ed0e4b53b7,2023-10-10 23:08:05,Canva,字和标点修正,False
15d7775e1a4452f0d405372c21b06e7c57e28726,2023-10-09 11:44:59,JG,"Merge pull request #344 from weqopy/master-1

Update ci.song.1000.json",True
2f41c42627a0d5935c0e263e76696f2aee02aefa,2023-10-09 11:44:47,JG,"Merge pull request #348 from DumoeDss/master

修复宋词乱码数据",True
52b01a7f4be0bc24f04fb6e8a211cf32ca5add5b,2023-10-09 11:44:36,JG,"Merge pull request #350 from Harold-y/master

20231008 added an example of DB + poetry web",True
13ae9eafa7890b1e2c178402866bb37e63f36946,2023-10-08 19:57:54,Harold-Y,20231008 added an example of DB + poetry web,False
99369c285e85f9fad1e6ba945ac10894e6f01955,2023-09-25 07:13:34,Sayo,更新宋词作者信息格式，引用社区推荐的最佳中英文排版,False
c074c25aeb23197b77ed16f512657ce02de29d0b,2023-09-25 07:05:43,Sayo,修复宋词乱码数据,False
b1dbef5287907eb0097702871438362eb09e9120,2023-08-04 08:55:46,weqopy,Update ci.song.1000.json 苏轼-南乡子,False
66fc88c8f6e346ccd5f4c2b22691242d34de4476,2023-07-04 14:09:20,JG,Update README.md,False
e29a832c610d9893d7bb2508a51991332e5fc14c,2023-05-29 09:13:19,JG,"Merge pull request #332 from winterAndvelvet/winter-pr

修复错字",True
09a9f7a305bd91814e4e38141b37369965c7a2f2,2023-05-26 17:17:08,winter_wang,修复错字,False
1f292b7f4e89e32508ae9e96e558bdca6437751a,2023-05-24 08:27:44,JG,"Merge pull request #330 from SanBingYouYong/master

整理所有格式相近的json文件并提供loader",True
717029ade7cc232aa2855a0dd70f270fb665c162,2023-05-10 22:04:45,SanBingYouYong-S.Zhang,Update data_loader.py,False
aa65d2fa5e96b4b3a5f9a461f32d663e05e378dc,2023-05-10 22:03:25,SanBingYouYong-S.Zhang,Update datas.json,False
1fc8091913eb223ff17c7bdf1dc341658dedde6e,2023-05-10 22:03:07,SanBingYouYong-S.Zhang,Update data_loader.py,False
2c81e4c8f745a98d923540797c9977d0343b962a,2023-05-10 22:01:15,SanBingYouYong-S.Zhang,Add files via upload,False
a70f08ec2c0bd61f41b429685516a04ee6306186,2023-04-17 11:45:35,JackeyGao,rm __pycache__,False
6d1ca5b699ee950974975d9d836a22fc7d39719b,2023-04-17 11:45:09,JackeyGao,update ignore,False
fa1814a8044db4fb0c7a9e0a0449974e8c3463b7,2023-04-17 11:43:23,JackeyGao,修改为中文目录,False
e6fc8971ac0392af352f521ef6d448b2bb16adfb,2023-03-03 15:28:47,JG,"Merge pull request #327 from bit-fan/nalanxingde

nalanxingde update",True
a54cbea7bea8bdef1a81a941b850af26cb55476d,2023-02-21 19:16:55,bitfan57,nalanxingde update,False
bca5f7c5631d946a45b59f825541b9861d39306b,2023-02-21 16:57:50,JG,"Merge pull request #323 from zlfzhw/developer

Developer",True
e02de1b86ee57619174f777eb23d2ab0dfbf9e7b,2023-02-02 13:48:12,zlfyuan,添加水墨唐诗说明,False
2023134f856ed57ec86b45d8c892b7d887fbc0bc,2023-02-02 13:41:48,zlfyuan,添加水墨唐诗,False
9684f807524f918fe5de7dc48f5d3cc82590f360,2022-11-14 12:00:18,JG,"Merge pull request #318 from jackeyGao/master

长沙窑“补遗”《全唐诗》 住在绿池边",True
e58441bf555a7264f80bdcafc1e57fdae1760399,2022-11-14 11:58:37,JG,长沙窑“补遗”《全唐诗》 住在绿池边,False
dc79fa9072c06c7c05b8d08755d48ca81811cba8,2022-10-28 08:00:20,JG,"Merge pull request #316 from chinainfant/master

全唐诗-卷五百三十九-无题-李商隐 补充",True
67ec79425111b7f7f6d6ffccf8a0b75233c937b5,2022-10-26 19:17:25,chinainfant,全唐诗-卷五百三十九-无题-李商隐 补充,False
b16389c92147fe40ed0898ed108b2c2d021e98fd,2022-10-26 08:13:47,JG,"Merge pull request #315 from chinainfant/master-lhy

全唐诗，卷一百一十七，《春江花月夜》，诗句缺失一半，补充完整。",True
61fe9d465ce1591c3c7851e74047202d52b8de49,2022-10-26 08:06:36,chinainfant,全唐诗，卷一百一十七，《春江花月夜》，诗句缺失一半，补充完整。,False
05d09864ed6a425b847f48f8351208d65f437ee8,2022-08-09 07:23:21,JG,"Merge pull request #310 from Augtons/master

添加纳兰性德诗集，共269首",True
ead9582028c6b04fca6db8b7f1dfd847093b3803,2022-08-09 07:23:05,JG,"Merge pull request #309 from yjm123456789yjm/master

对宋词三百首其中第二个补全",True
a39e8aec53076ab114410bd8b816736d8a7d92f3,2022-08-06 11:46:47,Augtons,添加纳兰性德诗集，共269首,False
460c07ab03d1c940dfaf0d62e14d33377098b1f4,2022-07-25 10:29:18,yjm,更改一个缺少作者的词,False
88ac4a5104c9435fbf172b9b25f4200654c2a237,2022-05-11 12:29:37,JG,"Merge pull request #302 from chienmy/master

提交经过初步校对的版本",True
2798d262debfa3f0e489958929707f30415388e7,2022-05-11 12:27:26,JG,"Merge pull request #303 from ZLValien/ZLValien-patch-1

修订错别字",True
2bada63c6df5303b56817b51907a32e7e795ce67,2022-05-09 08:44:56,ZLValien,"修订错别字

根据全唐诗影印版修订错别字",False
71d0646b298f7c2ee71a6d473462b7af65f565d7,2022-05-02 11:44:09,chienmy,修改宋词README，加入已知问题,False
5d51ebd4d1f6ee4883507efa222e523466ebafc5,2022-05-02 11:26:19,QianMY,Merge branch 'chinese-poetry:master' into master,True
